interest,categories
3D printing,"Indoors, Media, Art, Craft"
Acrobatics,"Indoors, Sports"
Acting,Indoors
Amateur radio,Indoors
Animation,"Indoors, Art, Media"
Anime,Indoors
Aquascaping,Indoors
Astrology,Indoors
Astronomy,"Indoors, Science"
Baking,"Indoors, Food"
Baton twirling,Indoors
Beer,"Indoors, Food"
Blogging,Indoors
Building,"Indoors, Outdoors, Craft"
Board/tabletop games,"Indoors, Games"
Book discussion clubs,"Indoors, Books"
Book restoration,"Indoors, Craft, Books"
Bowling,Indoors
Brazilian jiu-jitsu,Indoors
Breadmaking,"Indoors, Food"
Bullet journaling,Indoors
Cabaret,Indoors
Calligraphy,"Indoors, Art"
Candle making,"Indoors, Craft"
Candy making,"Indoors, Food"
Car fixing & building,Indoors
Card games,Indoors
Cheesemaking,"Indoors, Food"
Cleaning,Indoors
Clothesmaking,"Indoors, Craft"
Coffee roasting,"Indoors, Food"
Collecting,Indoors
Coloring,Indoors
Computer programming,Indoors
Confectionery,"Indoors, Food"
Cooking,"Indoors, Food"
Cosplaying,"Indoors, Craft"
Couponing,Indoors
Craft,"Indoors, Craft"
Creative writing,Indoors
Crocheting,"Indoors, Craft"
Cross-stitch,"Indoors, Craft"
Crossword puzzles,Indoors
Cryptography,Indoors
Cue sports,"Indoors, Sports"
Dance,"Indoors, Sports"
Digital arts,"Indoors, Art"
Distro Hopping,Indoors
DJing,"Indoors, Music, Media"
Do it yourself,Indoors
Drama,Indoors
Drawing,"Indoors, Art"
Drink mixing,"Indoors, Food"
Electronic games,"Indoors, Media"
Electronics,Indoors
Embroidery,Indoors
Experimenting,Indoors
Fantasy sports,"Indoors, Sports"
Fashion,"Indoors, Fashion"
Fashion design,"Indoors, Art, Fashion"
Fishkeeping,"Indoors, Pets"
Flower arranging,"Indoors, Gardening"
Fly tying,Indoors
Foreign language learning,Indoors
Furniture building,Indoors
Tabletop games and role-playing games,Indoors
Genealogy,Indoors
Gingerbread house making,"Indoors, Food"
Glassblowing,Indoors
Graphic design,"Indoors, Art"
Gunsmithing,"Indoors, Craft"
Gymnastics,"Indoors, Sports"
Hacking,Indoors
Herp keeping,"Indoors, Gardening"
Home improvement,"Indoors, Craft"
Homebrewing,Indoors
Houseplant care,"Indoors, Gardening"
Hula hooping,Indoors
Hydroponics,"Indoors, Gardening"
Ice skating,"Indoors, Sports"
Jewelry making,"Indoors, Craft"
Jigsaw puzzles,Indoors
Journaling,Indoors
Juggling,Indoors
Karaoke,Indoors
Karate,Indoors
Kendama,Indoors
Knife making,"Indoors, Craft"
Knitting,"Indoors, Craft"
Knot tying,Indoors
Kombucha brewing,"Indoors, Food"
Lace making,"Indoors, Craft"
Lapidary,Indoors
Lawn Chair Repurposing,Indoors
Learning a language,Indoors
Leather crafting,"Indoors, Craft"
Lego building,Indoors
Lock picking,Indoors
Listening to music,"Indoors, Media, Music"
Listening to podcasts,"Indoors, Media"
Machining,Indoors
Macrame,Indoors
Magic,Indoors
Makeup,"Indoors, Art, Beauty"
Mazes,"Indoors, Outdoors"
Metalworking,Indoors
Model building,"Indoors, Craft"
Model engineering,Indoors
Nail art,"Indoors, Art, Beauty"
Needlepoint,"Indoors, Craft"
Origami,"Indoors, Craft"
Painting,"Indoors, Craft"
Palmistry,Indoors
Pet adoption & fostering,"Indoors, Pets"
Philately,Indoors
Photography,"Indoors, Outdoors, Art, Media"
